Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	E2	40	64	ON	0,330	76	0	N/A
0,417	1:1:96	B2	47	64	ON	0,330	76	0	N/A
0,417	1:1:96	E4	64	80	ON	0,330	76	0	N/A
0,833	1:2:0	E3	52	64	ON	0,330	76	0	N/A
0,833	1:2:0	G#4	68	80	ON	0,330	76	0	N/A
1,250	1:2:96	G#3	56	64	ON	0,330	76	0	N/A
1,250	1:2:96	B4	71	80	ON	0,330	76	0	N/A
1,667	1:3:0	B3	59	64	ON	0,330	76	0	N/A
1,667	1:3:0	G#4	68	80	ON	0,330	76	0	N/A
1,667	1:3:0	E5	76	80	ON	0,330	76	0	N/A
2,083	1:3:96	E4	64	64	ON	0,330	76	0	N/A
2,083	1:3:96	B4	71	80	ON	0,330	76	0	N/A
2,083	1:3:96	G#5	80	80	ON	0,330	76	0	N/A
2,500	2:1:0	G#4	68	64	ON	0,330	76	0	N/A
2,500	2:1:0	E5	76	80	ON	1,332	307	0	N/A
2,500	2:1:0	B5	83	80	ON	1,997	460	0	N/A
2,917	2:1:96	F#4	66	64	ON	0,330	76	0	N/A
3,333	2:2:0	E4	64	64	ON	0,330	76	0	N/A
3,750	2:2:96	B3	59	64	ON	0,330	76	0	N/A
4,167	2:3:0	G#3	56	64	ON	0,330	76	0	N/A
4,583	2:3:96	E3	52	64	ON	0,330	76	0	N/A
4,583	2:3:96	E5	76	80	ON	0,330	76	0	N/A
4,583	2:3:96	B5	83	80	ON	0,330	76	0	N/A
5,000	3:1:0	B2	47	64	ON	0,330	76	0	N/A
5,000	3:1:0	D#5	75	80	ON	4,497	1036	0	N/A
5,000	3:1:0	B5	83	80	ON	4,497	1036	0	N/A
5,417	3:1:96	D#3	51	64	ON	0,330	76	0	N/A
5,833	3:2:0	F#3	54	64	ON	0,330	76	0	N/A
6,250	3:2:96	B3	59	64	ON	0,330	76	0	N/A
6,667	3:3:0	C#4	61	64	ON	0,330	76	0	N/A
7,083	3:3:96	D#4	63	64	ON	0,330	76	0	N/A
7,500	4:1:0	F#4	66	64	ON	0,330	76	0	N/A
7,917	4:1:96	E4	64	64	ON	0,330	76	0	N/A
8,333	4:2:0	D#4	63	64	ON	0,330	76	0	N/A
8,750	4:2:96	B3	59	64	ON	0,330	76	0	N/A
9,167	4:3:0	F#3	54	64	ON	0,330	76	0	N/A
9,583	4:3:96	D#3	51	64	ON	0,330	76	0	N/A
10,000	5:1:0	A2	45	64	ON	0,330	76	0	N/A
10,417	5:1:96	C#3	49	64	ON	0,330	76	0	N/A
10,417	5:1:96	E5	76	80	ON	0,330	76	0	N/A
10,417	5:1:96	C#6	85	80	ON	0,330	76	0	N/A
10,833	5:2:0	E3	52	64	ON	0,330	76	0	N/A
10,833	5:2:0	C#5	73	80	ON	0,330	76	0	N/A
10,833	5:2:0	A5	81	80	ON	0,330	76	0	N/A
11,250	5:2:96	A3	57	64	ON	0,330	76	0	N/A
11,250	5:2:96	A4	69	80	ON	0,330	76	0	N/A
11,250	5:2:96	E5	76	80	ON	0,330	76	0	N/A
11,667	5:3:0	C#4	61	64	ON	0,330	76	0	N/A
11,667	5:3:0	C#5	73	80	ON	0,330	76	0	N/A
12,083	5:3:96	E4	64	64	ON	0,330	76	0	N/A
12,083	5:3:96	A4	69	80	ON	0,330	76	0	N/A
12,500	6:1:0	A4	69	64	ON	0,330	76	0	N/A
12,500	6:1:0	C#5	73	80	ON	1,997	460	0	N/A
12,917	6:1:96	G#4	68	64	ON	0,330	76	0	N/A
13,333	6:2:0	F#4	66	64	ON	0,330	76	0	N/A
13,750	6:2:96	E4	64	64	ON	0,330	76	0	N/A
14,167	6:3:0	C#4	61	64	ON	0,330	76	0	N/A
14,583	6:3:96	A3	57	64	ON	0,330	76	0	N/A
