Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	C4	60	64	OFF	0,266	153	0	N/A
0,000	1:1:0	E5	76	80	OFF	0,200	115	0	N/A
0,000	1:1:0	C6	84	80	OFF	0,200	115	0	N/A
0,250	1:1:144	E5	76	80	OFF	0,066	38	0	N/A
0,250	1:1:144	C6	84	80	OFF	0,066	38	0	N/A
0,333	1:2:0	B3	59	64	OFF	0,266	153	0	N/A
0,333	1:2:0	D5	74	80	OFF	0,200	115	0	N/A
0,333	1:2:0	G5	79	80	OFF	0,200	115	0	N/A
0,583	1:2:144	D5	74	80	OFF	0,066	38	0	N/A
0,583	1:2:144	G5	79	80	OFF	0,066	38	0	N/A
0,667	1:3:0	A3	57	64	OFF	0,266	153	0	N/A
0,667	1:3:0	C5	72	80	OFF	0,200	115	0	N/A
0,667	1:3:0	A5	81	80	OFF	0,200	115	0	N/A
0,917	1:3:144	C5	72	80	OFF	0,066	38	0	N/A
0,917	1:3:144	A5	81	80	OFF	0,066	38	0	N/A
1,000	1:4:0	G3	55	64	OFF	0,266	153	0	N/A
1,000	1:4:0	B4	71	80	OFF	0,200	115	0	N/A
1,000	1:4:0	D5	74	80	OFF	0,200	115	0	N/A
1,250	1:4:144	B4	71	80	OFF	0,066	38	0	N/A
1,250	1:4:144	D5	74	80	OFF	0,066	38	0	N/A
1,333	2:1:0	G3	55	64	OFF	0,266	153	0	N/A
1,333	2:1:0	B4	71	80	OFF	0,200	115	0	N/A
1,333	2:1:0	G5	79	80	OFF	0,200	115	0	N/A
1,583	2:1:144	A4	69	80	OFF	0,066	38	0	N/A
1,583	2:1:144	F5	77	80	OFF	0,066	38	0	N/A
1,667	2:2:0	G2	43	64	OFF	0,266	153	0	N/A
1,667	2:2:0	G4	67	80	OFF	0,200	115	0	N/A
1,667	2:2:0	E5	76	80	OFF	0,200	115	0	N/A
1,917	2:2:144	F4	65	80	OFF	0,066	38	0	N/A
1,917	2:2:144	D5	74	80	OFF	0,066	38	0	N/A
2,000	2:3:0	G2	43	64	OFF	0,266	153	0	N/A
2,000	2:3:0	F4	65	80	OFF	0,200	115	0	N/A
2,000	2:3:0	C5	72	80	OFF	0,200	115	0	N/A
2,250	2:3:144	D4	62	80	OFF	0,066	38	0	N/A
2,250	2:3:144	B4	71	80	OFF	0,066	38	0	N/A
2,333	2:4:0	C3	48	64	OFF	0,266	153	0	N/A
2,333	2:4:0	E4	64	80	OFF	0,266	153	0	N/A
2,333	2:4:0	C5	72	80	OFF	0,266	153	0	N/A
2,667	3:1:0	C3	48	64	OFF	0,266	153	0	N/A
2,667	3:1:0	C4	60	80	OFF	0,200	115	0	N/A
2,667	3:1:0	G4	67	80	OFF	0,200	115	0	N/A
2,917	3:1:144	E4	64	80	OFF	0,066	38	0	N/A
2,917	3:1:144	G4	67	80	OFF	0,066	38	0	N/A
3,000	3:2:0	G2	43	64	OFF	0,266	153	0	N/A
3,000	3:2:0	F4	65	80	OFF	0,200	115	0	N/A
3,000	3:2:0	A4	69	80	OFF	0,200	115	0	N/A
3,250	3:2:144	D4	62	80	OFF	0,066	38	0	N/A
3,250	3:2:144	B4	71	80	OFF	0,066	38	0	N/A
3,333	3:3:0	C3	48	64	OFF	0,266	153	0	N/A
3,333	3:3:0	E4	64	80	OFF	0,200	115	0	N/A
3,333	3:3:0	C5	72	80	OFF	0,200	115	0	N/A
3,583	3:3:144	E4	64	80	OFF	0,066	38	0	N/A
3,583	3:3:144	C5	72	80	OFF	0,066	38	0	N/A
3,667	3:4:0	G3	55	64	OFF	0,266	153	0	N/A
3,667	3:4:0	G4	67	80	OFF	0,200	115	0	N/A
3,667	3:4:0	E5	76	80	OFF	0,200	115	0	N/A
3,917	3:4:144	E4	64	80	OFF	0,066	38	0	N/A
3,917	3:4:144	C5	72	80	OFF	0,066	38	0	N/A
4,000	4:1:0	D3	50	64	OFF	0,266	153	0	N/A
4,000	4:1:0	F#4	66	80	OFF	0,200	115	0	N/A
4,000	4:1:0	D5	74	80	OFF	0,200	115	0	N/A
4,250	4:1:144	G4	67	80	OFF	0,066	38	0	N/A
4,250	4:1:144	E5	76	80	OFF	0,066	38	0	N/A
4,333	4:2:0	A2	45	64	OFF	0,266	153	0	N/A
4,333	4:2:0	A4	69	80	OFF	0,200	115	0	N/A
4,333	4:2:0	F#5	78	80	OFF	0,200	115	0	N/A
4,583	4:2:144	C5	72	80	OFF	0,066	38	0	N/A
4,583	4:2:144	D5	74	80	OFF	0,066	38	0	N/A
4,667	4:3:0	G2	43	64	OFF	0,200	115	0	N/A
4,667	4:3:0	B4	71	80	OFF	0,533	307	0	N/A
4,667	4:3:0	G5	79	80	OFF	0,533	307	0	N/A
4,917	4:3:144	D3	50	64	OFF	0,066	38	0	N/A
5,000	4:4:0	G3	55	64	OFF	0,200	115	0	N/A
5,250	4:4:144	G3	55	64	OFF	0,066	38	0	N/A
5,333	5:1:0	C4	60	64	OFF	0,266	153	0	N/A
5,333	5:1:0	E5	76	80	OFF	0,200	115	0	N/A
5,333	5:1:0	C6	84	80	OFF	0,200	115	0	N/A
5,583	5:1:144	E5	76	80	OFF	0,066	38	0	N/A
5,583	5:1:144	C6	84	80	OFF	0,066	38	0	N/A
5,667	5:2:0	B3	59	64	OFF	0,266	153	0	N/A
5,667	5:2:0	D5	74	80	OFF	0,200	115	0	N/A
5,667	5:2:0	G5	79	80	OFF	0,200	115	0	N/A
5,917	5:2:144	D5	74	80	OFF	0,066	38	0	N/A
5,917	5:2:144	G5	79	80	OFF	0,066	38	0	N/A
6,000	5:3:0	A3	57	64	OFF	0,266	153	0	N/A
6,000	5:3:0	C5	72	80	OFF	0,200	115	0	N/A
6,000	5:3:0	A5	81	80	OFF	0,200	115	0	N/A
6,250	5:3:144	C5	72	80	OFF	0,066	38	0	N/A
6,250	5:3:144	A5	81	80	OFF	0,066	38	0	N/A
6,333	5:4:0	G3	55	64	OFF	0,266	153	0	N/A
6,333	5:4:0	B4	71	80	OFF	0,200	115	0	N/A
6,333	5:4:0	D5	74	80	OFF	0,200	115	0	N/A
6,583	5:4:144	B4	71	80	OFF	0,066	38	0	N/A
6,583	5:4:144	D5	74	80	OFF	0,066	38	0	N/A
6,667	6:1:0	G3	55	64	OFF	0,266	153	0	N/A
6,667	6:1:0	B4	71	80	OFF	0,200	115	0	N/A
6,667	6:1:0	G5	79	80	OFF	0,200	115	0	N/A
6,917	6:1:144	A4	69	80	OFF	0,066	38	0	N/A
6,917	6:1:144	F5	77	80	OFF	0,066	38	0	N/A
7,000	6:2:0	G3	55	64	OFF	0,266	153	0	N/A
7,000	6:2:0	G4	67	80	OFF	0,200	115	0	N/A
7,000	6:2:0	E5	76	80	OFF	0,200	115	0	N/A
7,250	6:2:144	F4	65	80	OFF	0,066	38	0	N/A
7,250	6:2:144	D5	74	80	OFF	0,066	38	0	N/A
7,333	6:3:0	C3	48	64	OFF	0,266	153	0	N/A
7,333	6:3:0	G4	67	80	OFF	0,200	115	0	N/A
7,333	6:3:0	E5	76	80	OFF	0,200	115	0	N/A
7,583	6:3:144	A4	69	80	OFF	0,066	38	0	N/A
7,583	6:3:144	F5	77	80	OFF	0,066	38	0	N/A
7,667	6:4:0	E3	52	64	OFF	0,266	153	0	N/A
7,667	6:4:0	C5	72	80	OFF	0,266	153	0	N/A
7,667	6:4:0	G5	79	80	OFF	0,266	153	0	N/A
8,000	7:1:0	D3	50	64	OFF	0,266	153	0	N/A
8,000	7:1:0	B4	71	80	OFF	0,200	115	0	N/A
8,000	7:1:0	G5	79	80	OFF	0,200	115	0	N/A
8,250	7:1:144	C5	72	80	OFF	0,066	38	0	N/A
8,250	7:1:144	A5	81	80	OFF	0,066	38	0	N/A
8,333	7:2:0	G2	43	64	OFF	0,266	153	0	N/A
8,333	7:2:0	B4	71	80	OFF	0,200	115	0	N/A
8,333	7:2:0	G5	79	80	OFF	0,200	115	0	N/A
8,583	7:2:144	B4	71	80	OFF	0,066	38	0	N/A
8,583	7:2:144	F5	77	80	OFF	0,066	38	0	N/A
8,667	7:3:0	C3	48	64	OFF	0,266	153	0	N/A
8,667	7:3:0	C5	72	80	OFF	0,200	115	0	N/A
8,667	7:3:0	E5	76	80	OFF	0,200	115	0	N/A
