Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A#1	34	76	OFF	0,159	51	0	N/A
0,000	1:1:0	A#2	46	76	OFF	0,159	51	0	N/A
0,000	1:1:0	A#4	70	84	OFF	0,197	63	0	N/A
0,000	1:1:0	C#5	73	84	OFF	0,197	63	0	N/A
0,000	1:1:0	F5	77	84	OFF	0,197	63	0	N/A
0,000	1:1:0	A#5	82	84	OFF	0,197	63	0	N/A
0,200	1:1:64	F2	41	76	OFF	0,159	51	0	N/A
0,200	1:1:64	F3	53	76	OFF	0,159	51	0	N/A
0,400	1:1:128	F2	41	76	OFF	0,159	51	0	N/A
0,400	1:1:128	F3	53	76	OFF	0,159	51	0	N/A
0,600	1:2:0	F2	41	76	OFF	0,159	51	0	N/A
0,600	1:2:0	F3	53	76	OFF	0,159	51	0	N/A
0,800	1:2:64	F2	41	76	OFF	0,159	51	0	N/A
0,800	1:2:64	F3	53	76	OFF	0,159	51	0	N/A
1,000	1:2:128	F2	41	76	OFF	0,159	51	0	N/A
1,000	1:2:128	F3	53	76	OFF	0,159	51	0	N/A
1,200	1:3:0	F2	41	76	OFF	0,159	51	0	N/A
1,200	1:3:0	F3	53	76	OFF	0,159	51	0	N/A
1,400	1:3:64	F2	41	76	OFF	0,159	51	0	N/A
1,400	1:3:64	F3	53	76	OFF	0,159	51	0	N/A
1,600	1:3:128	F2	41	76	OFF	0,159	51	0	N/A
1,600	1:3:128	F3	53	76	OFF	0,159	51	0	N/A
1,800	1:4:0	A#1	34	76	OFF	0,159	51	0	N/A
1,800	1:4:0	A#2	46	76	OFF	0,159	51	0	N/A
2,000	1:4:64	F2	41	76	OFF	0,159	51	0	N/A
2,000	1:4:64	F3	53	76	OFF	0,159	51	0	N/A
2,200	1:4:128	F2	41	76	OFF	0,159	51	0	N/A
2,200	1:4:128	F3	53	76	OFF	0,159	51	0	N/A
2,400	2:1:0	F#2	42	76	OFF	0,159	51	0	N/A
2,400	2:1:0	F#3	54	76	OFF	0,159	51	0	N/A
2,400	2:1:0	A#3	58	84	OFF	0,159	51	0	N/A
2,400	2:1:0	C#4	61	84	OFF	0,159	51	0	N/A
2,400	2:1:0	F#4	66	84	OFF	0,159	51	0	N/A
2,600	2:1:64	F2	41	76	OFF	0,159	51	0	N/A
2,600	2:1:64	F3	53	76	OFF	0,159	51	0	N/A
2,600	2:1:64	A#3	58	84	OFF	0,159	51	0	N/A
2,600	2:1:64	C#4	61	84	OFF	0,159	51	0	N/A
2,600	2:1:64	F4	65	84	OFF	0,159	51	0	N/A
2,800	2:1:128	F2	41	76	OFF	0,159	51	0	N/A
2,800	2:1:128	F3	53	76	OFF	0,159	51	0	N/A
3,000	2:2:0	F2	41	76	OFF	0,159	51	0	N/A
3,000	2:2:0	F3	53	76	OFF	0,159	51	0	N/A
3,200	2:2:64	F2	41	76	OFF	0,159	51	0	N/A
3,200	2:2:64	F3	53	76	OFF	0,159	51	0	N/A
3,400	2:2:128	F2	41	76	OFF	0,159	51	0	N/A
3,400	2:2:128	F3	53	76	OFF	0,159	51	0	N/A
3,600	2:3:0	F2	41	76	OFF	0,159	51	0	N/A
3,600	2:3:0	F3	53	76	OFF	0,159	51	0	N/A
3,800	2:3:64	A#1	34	76	OFF	0,159	51	0	N/A
3,800	2:3:64	A#2	46	76	OFF	0,159	51	0	N/A
4,000	2:3:128	F2	41	76	OFF	0,159	51	0	N/A
4,000	2:3:128	F3	53	76	OFF	0,159	51	0	N/A
4,000	2:3:128	A#3	58	84	OFF	0,159	51	0	N/A
4,000	2:3:128	C#4	61	84	OFF	0,159	51	0	N/A
4,000	2:3:128	F4	65	84	OFF	0,159	51	0	N/A
4,200	2:4:0	F#2	42	76	OFF	0,159	51	0	N/A
4,200	2:4:0	F#3	54	76	OFF	0,159	51	0	N/A
4,200	2:4:0	A#3	58	84	OFF	0,159	51	0	N/A
4,200	2:4:0	C#4	61	84	OFF	0,159	51	0	N/A
4,200	2:4:0	F#4	66	84	OFF	0,159	51	0	N/A
4,400	2:4:64	F2	41	76	OFF	0,159	51	0	N/A
4,400	2:4:64	F3	53	76	OFF	0,159	51	0	N/A
4,400	2:4:64	A#3	58	84	OFF	0,159	51	0	N/A
4,400	2:4:64	C#4	61	84	OFF	0,159	51	0	N/A
4,400	2:4:64	F4	65	84	OFF	0,159	51	0	N/A
4,600	2:4:128	F2	41	76	OFF	0,159	51	0	N/A
4,600	2:4:128	F3	53	76	OFF	0,159	51	0	N/A
4,800	3:1:0	F2	41	76	OFF	0,159	51	0	N/A
4,800	3:1:0	F3	53	76	OFF	0,159	51	0	N/A
4,800	3:1:0	A#3	58	84	OFF	0,159	51	0	N/A
4,800	3:1:0	C#4	61	84	OFF	0,159	51	0	N/A
4,800	3:1:0	F4	65	84	OFF	0,159	51	0	N/A
5,000	3:1:64	F2	41	76	OFF	0,159	51	0	N/A
5,000	3:1:64	F3	53	76	OFF	0,159	51	0	N/A
5,200	3:1:128	F2	41	76	OFF	0,159	51	0	N/A
5,200	3:1:128	F3	53	76	OFF	0,159	51	0	N/A
5,200	3:1:128	A#3	58	84	OFF	0,159	51	0	N/A
5,200	3:1:128	C#4	61	84	OFF	0,159	51	0	N/A
5,200	3:1:128	F4	65	84	OFF	0,159	51	0	N/A
5,400	3:2:0	A#1	34	76	OFF	0,159	51	0	N/A
5,400	3:2:0	A#2	46	76	OFF	0,159	51	0	N/A
5,600	3:2:64	C#2	37	76	OFF	0,159	51	0	N/A
5,600	3:2:64	C#3	49	76	OFF	0,159	51	0	N/A
5,800	3:2:128	A#1	34	76	OFF	0,159	51	0	N/A
5,800	3:2:128	A#2	46	76	OFF	0,159	51	0	N/A
6,000	3:3:0	F2	41	76	OFF	0,159	51	0	N/A
6,000	3:3:0	F3	53	76	OFF	0,159	51	0	N/A
6,000	3:3:0	A#3	58	84	OFF	0,159	51	0	N/A
6,000	3:3:0	C#4	61	84	OFF	0,159	51	0	N/A
6,000	3:3:0	F4	65	84	OFF	0,159	51	0	N/A
6,200	3:3:64	F2	41	76	OFF	0,159	51	0	N/A
6,200	3:3:64	F3	53	76	OFF	0,159	51	0	N/A
6,400	3:3:128	F2	41	76	OFF	0,159	51	0	N/A
6,400	3:3:128	F3	53	76	OFF	0,159	51	0	N/A
