Time (s)	Bar:Beat:Tick	Pitch	Note #	Velocity	Sustain	Duration (s)	Duration (tk)	Ch	Program (Inst.)
0,000	1:1:0	A#2	46	60	ON	0,594	76	0	N/A
0,000	1:1:0	A#4	70	80	ON	1,195	153	0	N/A
0,750	1:1:96	F3	53	60	ON	0,594	76	0	N/A
1,500	1:2:0	C#4	61	60	ON	0,594	76	0	N/A
2,250	1:2:96	F3	53	60	ON	0,594	76	0	N/A
2,250	1:2:96	A#4	70	80	ON	0,703	90	0	N/A
3,000	1:3:0	C4	60	60	ON	0,594	76	0	N/A
3,000	1:3:0	C5	72	80	ON	1,195	153	0	N/A
3,750	1:3:96	F3	53	60	ON	0,594	76	0	N/A
4,500	1:4:0	A#3	58	60	ON	0,594	76	0	N/A
4,500	1:4:0	C#5	73	80	ON	1,195	153	0	N/A
5,250	1:4:96	F3	53	60	ON	0,594	76	0	N/A
6,000	2:1:0	F2	41	60	ON	0,594	76	0	N/A
6,000	2:1:0	C5	72	80	ON	1,195	153	0	N/A
6,750	2:2:0	C3	48	60	ON	0,594	76	0	N/A
7,500	2:3:0	A3	57	60	ON	0,594	76	0	N/A
7,500	2:3:0	C5	72	80	ON	1,406	180	0	N/A
8,250	2:4:0	C3	48	60	ON	0,594	76	0	N/A
9,000	2:5:0	A3	57	60	ON	0,594	76	0	N/A
9,000	2:5:0	C#5	73	80	ON	1,195	153	0	N/A
9,750	2:6:0	C3	48	60	ON	0,594	76	0	N/A
10,500	2:7:0	F2	41	60	ON	0,594	76	0	N/A
